Brand,Brand_Category,Size_ML,Date,Qty
OFFICERS CHOICE PRESTIGE WHISKY,Deluxe Prestige Brand,1000,01/05/2024,0
OFFICERS CHOICE PRESTIGE WHISKY,Deluxe Prestige Brand,750,01/05/2024,10
OFFICERS CHOICE PRESTIGE WHISKY,Deluxe Prestige Brand,375,01/05/2024,5
OFFICERS CHOICE PRESTIGE WHISKY,Deluxe Prestige Brand,180,01/05/2024,37
OLD MONK VERY OLD VATTED XXX DELUXE,Deluxe Prestige Brand,750,01/05/2024,2
AC BLACK PURE GRAIN DELUXE WHISKY,Deluxe Premuim Brand,750,01/05/2024,4
AC BLACK PURE GRAIN DELUXE WHISKY,Deluxe Premuim Brand,375,01/05/2024,5
AC BLACK PURE GRAIN DELUXE WHISKY,Deluxe Premuim Brand,180,01/05/2024,11
IICE BARE IT ALL VODKA PREMIUM,Deluxe Premuim Brand,750,01/05/2024,0
IICE BARE IT ALL VODKA PREMIUM,Deluxe Premuim Brand,375,01/05/2024,3
IICE BARE IT ALL VODKA PREMIUM,Deluxe Premuim Brand,180,01/05/2024,7
IMPERIAL BLUE SUPERIOR GRAIN WHISKY,Deluxe Premuim Brand,750,01/05/2024,7
IMPERIAL BLUE SUPERIOR GRAIN WHISKY,Deluxe Premuim Brand,375,01/05/2024,29
IMPERIAL BLUE SUPERIOR GRAIN WHISKY,Deluxe Premuim Brand,180,01/05/2024,32
MC. DOWELLS NO.1 CELEBRATION MATURED XXX RUM,Deluxe Premuim Brand,750,01/05/2024,6
MC. DOWELLS NO.1 CELEBRATION MATURED XXX RUM,Deluxe Premuim Brand,375,01/05/2024,18
MC. DOWELLS NO.1 CELEBRATION MATURED XXX RUM,Deluxe Premuim Brand,180,01/05/2024,17
OFFICERS CHOICE BLUE PURE GRAIN WHISKY,Deluxe Premuim Brand,750,01/05/2024,12
OFFICERS CHOICE BLUE PURE GRAIN WHISKY,Deluxe Premuim Brand,375,01/05/2024,31
OFFICERS CHOICE BLUE PURE GRAIN WHISKY,Deluxe Premuim Brand,180,01/05/2024,127
OLD MONK VERY OLD VATTED XXX RUM,Deluxe Premuim Brand,750,01/05/2024,3
OLD MONK VERY OLD VATTED XXX RUM,Deluxe Premuim Brand,375,01/05/2024,8
OLD MONK VERY OLD VATTED XXX RUM,Deluxe Premuim Brand,180,01/05/2024,10
TRIPLE CROWN PREMIUM BLENDED BRANDY,Deluxe Premuim Brand,750,01/05/2024,2
TRIPLE CROWN PREMIUM BLENDED BRANDY,Deluxe Premuim Brand,375,01/05/2024,6
TRIPLE CROWN PREMIUM BLENDED BRANDY,Deluxe Premuim Brand,180,01/05/2024,4
MC. DOWELLS NO.1 RESERVE WHISKY,Deluxe Premuim Brand,750,01/05/2024,8
MC. DOWELLS NO.1 RESERVE WHISKY,Deluxe Premuim Brand,375,01/05/2024,13
MC. DOWELLS NO.1 RESERVE WHISKY,Deluxe Premuim Brand,180,01/05/2024,11
MC. DOWELLS NO.1 LUXURY PREMIUM WHISKY,Deluxe Premuim Brand,750,01/05/2024,1
MC. DOWELLS NO.1 LUXURY PREMIUM WHISKY,Deluxe Premuim Brand,375,01/05/2024,1
MC. DOWELLS NO.1 LUXURY PREMIUM WHISKY,Deluxe Premuim Brand,180,01/05/2024,6
BLACK BY BACARDI CLASSIC ORIGINAL PREMIUM CRAFTED RUM,Semi Premium Brand,750,01/05/2024,2
BLACK BY BACARDI CLASSIC ORIGINAL PREMIUM CRAFTED RUM,Semi Premium Brand,375,01/05/2024,8
BLACK BY BACARDI CLASSIC ORIGINAL PREMIUM CRAFTED RUM,Semi Premium Brand,180,01/05/2024,8
IICE BITE THE APPLE VODKA PREMIUM,Semi Premium Brand,750,01/05/2024,3
IICE BITE THE APPLE VODKA PREMIUM,Semi Premium Brand,375,01/05/2024,2
IICE BITE THE APPLE VODKA PREMIUM,Semi Premium Brand,180,01/05/2024,10
M2 MAGIC MOMENTS PURE GRAIN VODKA,Semi Premium Brand,750,01/05/2024,4
M2 MAGIC MOMENTS PURE GRAIN VODKA,Semi Premium Brand,375,01/05/2024,5
M2 MAGIC MOMENTS PURE GRAIN VODKA,Semi Premium Brand,180,01/05/2024,17
M2 Magic Moments Remix Smooth Flavoured Vodka Green Apple,Semi Premium Brand,750,01/05/2024,4
M2 Magic Moments Remix Smooth Flavoured Vodka Green Apple,Semi Premium Brand,375,01/05/2024,8
M2 Magic Moments Remix Smooth Flavoured Vodka Green Apple,Semi Premium Brand,180,01/05/2024,10
M2 Magic Moments Remix Remix Chocolate Flavoured Vodka,Semi Premium Brand,750,01/05/2024,4
M2 Magic Moments Remix Remix Chocolate Flavoured Vodka,Semi Premium Brand,375,01/05/2024,9
M2 Magic Moments Remix Remix Chocolate Flavoured Vodka,Semi Premium Brand,180,01/05/2024,10
OAKSMITH INTERNATIONAL BLENDED WHISKY,Semi Premium Brand,750,01/05/2024,4
OAKSMITH INTERNATIONAL BLENDED WHISKY,Semi Premium Brand,375,01/05/2024,3
OAKSMITH INTERNATIONAL BLENDED WHISKY,Semi Premium Brand,180,01/05/2024,5
ROYAL CHALLENGE FINEST PREMIUM WHISKY,Semi Premium Brand,750,01/05/2024,3
ROYAL CHALLENGE FINEST PREMIUM WHISKY,Semi Premium Brand,375,01/05/2024,8
