Sl_No,Brand_Category, Brand,Size_ML,LookColumn,Maximum_Retail_Price_per_case,Maximum_Retail_Price_per_bottle,Maximum_Retail_Price_per_bottle_OLD
1,Deluxe Prestige Brand,OFFICERS CHOICE PRESTIGE WHISKY,1000,(Deluxe Prestige Brand) -  OFFICERS CHOICE PRESTIGE WHISKY - 1000 ML,3387,376,340
2,Deluxe Prestige Brand,OFFICERS CHOICE PRESTIGE WHISKY,750,(Deluxe Prestige Brand) -  OFFICERS CHOICE PRESTIGE WHISKY - 750 ML,3387,282,255
3,Deluxe Prestige Brand,OFFICERS CHOICE PRESTIGE WHISKY,375,(Deluxe Prestige Brand) -  OFFICERS CHOICE PRESTIGE WHISKY - 375 ML,3387,141,127
4,Deluxe Prestige Brand,OFFICERS CHOICE PRESTIGE WHISKY,180,(Deluxe Prestige Brand) -  OFFICERS CHOICE PRESTIGE WHISKY - 180 ML,3387,71,64
5,Deluxe Prestige Brand,OLD MONK VERY OLD VATTED XXX DELUXE,750,(Deluxe Prestige Brand) -  OLD MONK VERY OLD VATTED XXX DELUXE - 750 ML,3387,282,255
6,Deluxe Premuim Brand,AC BLACK PURE GRAIN DELUXE WHISKY,750,(Deluxe Premuim Brand) -  AC BLACK PURE GRAIN DELUXE WHISKY - 750 ML,4323,360,326
7,Deluxe Premuim Brand,AC BLACK PURE GRAIN DELUXE WHISKY,375,(Deluxe Premuim Brand) -  AC BLACK PURE GRAIN DELUXE WHISKY - 375 ML,4323,180,163
8,Deluxe Premuim Brand,AC BLACK PURE GRAIN DELUXE WHISKY,180,(Deluxe Premuim Brand) -  AC BLACK PURE GRAIN DELUXE WHISKY - 180 ML,4323,90,82
9,Deluxe Premuim Brand,IICE BARE IT ALL VODKA PREMIUM,750,(Deluxe Premuim Brand) -  IICE BARE IT ALL VODKA PREMIUM - 750 ML,4244,354,320
10,Deluxe Premuim Brand,IICE BARE IT ALL VODKA PREMIUM,375,(Deluxe Premuim Brand) -  IICE BARE IT ALL VODKA PREMIUM - 375 ML,4252,177,160
11,Deluxe Premuim Brand,IICE BARE IT ALL VODKA PREMIUM,180,(Deluxe Premuim Brand) -  IICE BARE IT ALL VODKA PREMIUM - 180 ML,4261,89,80
12,Deluxe Premuim Brand,IMPERIAL BLUE SUPERIOR GRAIN WHISKY,750,(Deluxe Premuim Brand) -  IMPERIAL BLUE SUPERIOR GRAIN WHISKY - 750 ML,4323,360,326
13,Deluxe Premuim Brand,IMPERIAL BLUE SUPERIOR GRAIN WHISKY,375,(Deluxe Premuim Brand) -  IMPERIAL BLUE SUPERIOR GRAIN WHISKY - 375 ML,4323,180,163
14,Deluxe Premuim Brand,IMPERIAL BLUE SUPERIOR GRAIN WHISKY,180,(Deluxe Premuim Brand) -  IMPERIAL BLUE SUPERIOR GRAIN WHISKY - 180 ML,4323,90,82
15,Deluxe Premuim Brand,MC. DOWELLS NO.1 CELEBRATION MATURED XXX RUM,750,(Deluxe Premuim Brand) -  MC. DOWELLS NO.1 CELEBRATION MATURED XXX RUM - 750 ML,3760,313,280
16,Deluxe Premuim Brand,MC. DOWELLS NO.1 CELEBRATION MATURED XXX RUM,375,(Deluxe Premuim Brand) -  MC. DOWELLS NO.1 CELEBRATION MATURED XXX RUM - 375 ML,3754,156,140
17,Deluxe Premuim Brand,MC. DOWELLS NO.1 CELEBRATION MATURED XXX RUM,180,(Deluxe Premuim Brand) -  MC. DOWELLS NO.1 CELEBRATION MATURED XXX RUM - 180 ML,3749,78,70
18,Deluxe Premuim Brand,OFFICERS CHOICE BLUE PURE GRAIN WHISKY,750,(Deluxe Premuim Brand) -  OFFICERS CHOICE BLUE PURE GRAIN WHISKY - 750 ML,4323,360,326
19,Deluxe Premuim Brand,OFFICERS CHOICE BLUE PURE GRAIN WHISKY,375,(Deluxe Premuim Brand) -  OFFICERS CHOICE BLUE PURE GRAIN WHISKY - 375 ML,4323,180,163
20,Deluxe Premuim Brand,OFFICERS CHOICE BLUE PURE GRAIN WHISKY,180,(Deluxe Premuim Brand) -  OFFICERS CHOICE BLUE PURE GRAIN WHISKY - 180 ML,4323,90,82
